cardId,ticketId,mediaType,ticketTypeCode,transactionType,transactionDateTime,originStopId,route_id,trip_id,fareForAdult,equipmentId,transactionVehicleNum,result,reject_reason
NFC-A1B2C3D4,,NFC_SMARTCARD,MONTHLY_PASS,VALIDATION,2026-04-04T20:01:11Z,1468,12,12_20,0.00,VLDR-03,VH-007,ACCEPTED,
,TKT-20260404-200,QR_CODE,SINGLE_TICKET,VALIDATION,2026-04-04T20:03:45Z,10,12,12_27,1.70,VLDR-03,VH-007,ACCEPTED,
NFC-F9E8D7C6,,NFC_SMARTCARD,SENIOR_PASS,VALIDATION,2026-04-04T20:06:02Z,111,12,12_23,0.00,VLDR-07,VH-012,REJECTED,EXPIRED
NFC-Z9Y8X7W6,,NFC_SMARTCARD,MONTHLY_PASS,VALIDATION,2026-04-04T20:08:00Z,10,12,12_33,0.00,VLDR-08,VH-013,ACCEPTED,
NFC-Q1W2E3R4,,NFC_SMARTCARD,MONTHLY_PASS,VALIDATION,2026-04-04T20:10:15Z,10,13,13_15,0.00,VLDR-02,VH-010,ACCEPTED,
,TKT-20260404-201,QR_CODE,SINGLE_TICKET,VALIDATION,2026-04-04T20:12:44Z,10,13,13_22,1.70,VLDR-05,VH-015,ACCEPTED,
NFC-T5Y6U7I8,,NFC_SMARTCARD,SENIOR_PASS,VALIDATION,2026-04-04T20:14:51Z,111,13,13_30,0.00,VLDR-09,VH-011,REJECTED,EXPIRED
NFC-O9P0A1S2,,NFC_SMARTCARD,MONTHLY_PASS,VALIDATION,2026-04-04T20:16:30Z,111,13,13_36,0.00,VLDR-04,VH-003,ACCEPTED,
,TKT-20260404-202,QR_CODE,SINGLE_TICKET,VALIDATION,2026-04-04T20:18:08Z,15,14,14_1,1.70,VLDR-01,VH-020,ACCEPTED,
NFC-D3F4G5H6,,NFC_SMARTCARD,MONTHLY_PASS,VALIDATION,2026-04-04T20:19:55Z,42,14,14_1,0.00,VLDR-06,VH-021,ACCEPTED,
NFC-J7K8L9Z0,,NFC_SMARTCARD,SENIOR_PASS,VALIDATION,2026-04-04T20:21:37Z,851,14,14_1,0.00,VLDR-10,VH-022,REJECTED,EXPIRED
,TKT-20260404-203,QR_CODE,SINGLE_TICKET,VALIDATION,2026-04-04T20:23:20Z,463,14,14_1,1.70,VLDR-11,VH-023,ACCEPTED,
